分类: 📡卫视频道, 名称: 海南卫视, 有效: 5, IPv4: 149, IPv6: 0, 最小延迟: 66 ms, 最高速率: 67.84 M/s, 平均速率: 28.58 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 河北卫视, 有效: 5, IPv4: 161, IPv6: 0, 最小延迟: 70 ms, 最高速率: 9.00 M/s, 平均速率: 2.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 河南卫视, 有效: 6, IPv4: 180, IPv6: 0, 最小延迟: 55 ms, 最高速率: 8.19 M/s, 平均速率: 2.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 5, IPv4: 167, IPv6: 0, 最小延迟: 146 ms, 最高速率: 7.70 M/s, 平均速率: 3.73 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 6, IPv4: 197, IPv6: 0, 最小延迟: 323 ms, 最高速率: 8.75 M/s, 平均速率: 5.04 M/s, 最高分辨率: 3840x2160, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 江西卫视, 有效: 6, IPv4: 186, IPv6: 0, 最小延迟: 59 ms, 最高速率: 8.73 M/s, 平均速率: 2.35 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 5, IPv4: 181, IPv6: 0, 最小延迟: 378 ms, 最高速率: 8.38 M/s, 平均速率: 7.08 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 6, IPv4: 110, IPv6: 0, 最小延迟: 64 ms, 最高速率: 74.76 M/s, 平均速率: 22.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 6, IPv4: 118, IPv6: 0, 最小延迟: 61 ms, 最高速率: 72.35 M/s, 平均速率: 22.10 M/s, 最高分辨率: 1920x1080, 平均帧率: 21.26, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 青海卫视, 有效: 6, IPv4: 140, IPv6: 0, 最小延迟: 60 ms, 最高速率: 8.44 M/s, 平均速率: 4.91 M/s, 最高分辨率: 1920x1080, 平均帧率: 20.01, 视频编解码器: h264, 音频编解码器: aac
